round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Final,Novak Djokovic,6-4 6-2 6-3,2011,m,Novak Djokovic,Andy Murray,SRB,GBR,67%,53%,6,6,0,4,70%,64%,60%,31%,208,216,192,194,0,0,39%,75%,51%,33%,106,78,26,21,33,47,64%,39%
semi,Andy Murray,4-6 7-6(2) 6-1 7-6(2),2011,m,Andy Murray,David Ferrer,GBR,ESP,60%,67%,9,5,3,2,75%,60%,37%,49%,211,198,185,178,142,146,55%,28%,44%,40%,152,141,60,34,63,34,71%,70%
semi,Novak Djokovic,7-6(3) 7-5 6-4,2011,m,Novak Djokovic,Roger Federer,SRB,SUI,69%,60%,6,5,5,0,73%,71%,41%,48%,207,203,191,189,149,157,36%,30%,38%,37%,119,111,29,35,35,44,62%,65%
quarter,David Ferrer,6-4 6-2 6-3,2011,m,David Ferrer,Rafael Nadal,ESP,ESP,68%,66%,8,2,2,1,72%,55%,57%,37%,198,207,178,179,149,142,47%,33%,51%,33%,102,75,44,19,32,34,76%,74%
quarter,Andy Murray,7-5 6-3 6-7(3) 6-3,2011,m,Andy Murray,Alexandr Dolgopolov,GBR,UKR,58%,58%,9,16,5,5,75%,71%,61%,35%,216,211,187,184,149,140,39%,80%,44%,31%,152,124,33,57,34,77,68%,59%
quarter,Novak Djokovic,6-1 7-6(5) 6-1,2011,m,Novak Djokovic,Tomas Berdych,SRB,CZE,68%,53%,10,5,1,5,82%,71%,41%,36%,206,218,192,200,150,156,50%,50%,46%,31%,107,80,34,29,21,32,75%,47%
quarter,Roger Federer,6-1 6-3 6-3,2011,m,Roger Federer,Stanislas Wawrinka,SUI,SUI,77%,58%,5,1,0,0,72%,57%,76%,56%,207,214,188,184,156,144,71%,0%,43%,27%,90,66,29,21,24,30,63%,48%
Fourth,Rafael Nadal,6-2 6-4 6-3,2011,m,Rafael Nadal,Marin Cilic,ESP,CRO,73%,55%,3,8,3,4,79%,76%,48%,33%,200,201,183,187,140,152,36%,0%,43%,29%,103,82,26,32,21,48,94%,68%
Fourth,David Ferrer,4-6 6-2 6-3 6-4,2011,m,David Ferrer,Milos Raonic,ESP,CAN,71%,61%,3,15,1,2,78%,65%,55%,51%,195,226,176,204,145,160,36%,22%,40%,29%,131,109,23,57,10,68,94%,62%
Fourth,Alexandr Dolgopolov,1-6 6-3 6-1 4-6 6-2,2011,m,Alexandr Dolgopolov,Robin Soderling,UKR,SWE,50%,62%,11,6,2,6,79%,59%,44%,38%,215,221,189,190,144,155,53%,67%,49%,38%,132,111,50,34,23,51,67%,64%
Fourth,Andy Murray,6-3 6-1 6-1,2011,m,Andy Murray,Jurgen Melzer,GBR,AUT,57%,65%,13,1,3,1,83%,51%,57%,32%,216,204,192,180,147,150,50%,13%,56%,29%,90,52,30,21,10,27,68%,58%
Fourth,Tomas Berdych,6-4 6-2 6-3,2011,m,Tomas Berdych,Fernando Verdasco,CZE,ESP,65%,57%,11,10,1,4,88%,69%,74%,44%,217,211,190,187,147,155,38%,100%,42%,17%,88,57,32,26,8,39,100%,78%
Fourth,Novak Djokovic,6-3 6-4 6-0,2011,m,Novak Djokovic,Nicolas Almagro,SRB,ESP,75%,59%,12,5,4,2,86%,61%,47%,44%,206,212,188,198,147,151,38%,0%,46%,24%,93,60,31,15,17,35,82%,50%
Fourth,Stanislas Wawrinka,6-3 6-4 6-4,2011,m,Stanislas Wawrinka,Andy Roddick,SUI,USA,49%,61%,24,9,2,4,92%,74%,65%,41%,215,219,192,203,154,178,23%,0%,39%,22%,106,85,67,24,19,19,88%,65%
Fourth,Roger Federer,6-3 3-6 6-3 6-2,2011,m,Roger Federer,Tommy Robredo,SUI,ESP,69%,62%,10,6,1,1,79%,72%,61%,49%,203,205,184,176,149,142,40%,50%,37%,27%,117,97,50,28,40,21,72%,58%
Third,Rafael Nadal,6-2 7-5 6-3,2011,m,Rafael Nadal,Bernard Tomic,ESP,AUS,58%,64%,4,11,4,3,68%,64%,54%,35%,207,201,182,185,141,141,37%,25%,45%,37%,108,92,32,39,32,49,68%,62%
Third,Marin Cilic,4-6 6-2 6-7(5) 7-6(2) 9-7,2011,m,Marin Cilic,John Isner,CRO,USA,57%,69%,22,26,8,5,76%,76%,68%,54%,204,227,187,200,146,168,33%,9%,30%,26%,192,179,75,67,42,59,52%,67%
Third,Milos Raonic,6-4 7-5 4-6 6-4,2011,m,Milos Raonic,Mikhail Youzhny,CAN,RUS,68%,61%,31,3,2,2,71%,63%,61%,57%,225,190,203,177,158,146,75%,80%,39%,31%,123,107,64,24,54,26,48%,44%
Third,David Ferrer,6-2 6-2 6-1,2011,m,David Ferrer,Richard Berankis,ESP,LTU,58%,57%,5,1,1,5,88%,50%,58%,33%,189,202,174,182,142,149,42%,100%,54%,24%,95,53,23,18,15,46,82%,64%
Third,Robin Soderling,6-3 6-1 6-4,2011,m,Robin Soderling,Jan Hernych,SWE,CZE,60%,65%,10,0,3,1,84%,53%,53%,44%,220,196,190,174,158,147,50%,33%,49%,27%,100,67,33,8,32,32,81%,64%
Third,Alexandr Dolgopolov,3-6 6-3 3-6 6-1 6-1,2011,m,Alexandr Dolgopolov,Jo-Wilfried Tsonga,UKR,FRA,53%,60%,9,6,3,8,81%,71%,48%,33%,213,212,182,190,139,146,60%,50%,41%,34%,121,102,38,40,26,58,50%,67%
Third,Jurgen Melzer,6-7(5) 6-2 6-1 4-3 ret.,2011,m,Jurgen Melzer,Marcos Baghdatis,AUT,CYP,66%,62%,6,4,5,0,72%,63%,58%,51%,207,207,182,185,146,145,54%,25%,41%,32%,115,94,39,25,44,41,58%,52%
Third,Andy Murray,6-1 6-1 6-2,2011,m,Andy Murray,Guillermo Garcia-Lopez,GBR,ESP,64%,65%,10,3,1,4,78%,58%,57%,21%,205,195,189,181,150,146,73%,50%,52%,29%,79,48,24,13,18,31,73%,57%
Third,Tomas Berdych,6-2 7-6(3) 6-2,2011,m,Tomas Berdych,Richard Gasquet,CZE,FRA,71%,56%,9,9,1,5,77%,68%,65%,41%,217,211,194,186,147,152,50%,25%,42%,26%,103,78,39,34,17,38,59%,60%
Third,Fernando Verdasco,6-2 6-4 6-3,2011,m,Fernando Verdasco,Kei Nishikori,ESP,JPN,73%,67%,3,1,2,3,73%,64%,59%,33%,217,192,182,176,144,143,60%,25%,44%,30%,94,70,36,15,30,27,62%,53%
Third,Nicolas Almagro,6-4 7-6(8) 6-3,2011,m,Nicolas Almagro,Ivan Ljubicic,ESP,CRO,63%,55%,11,10,2,2,84%,83%,73%,54%,209,207,182,187,137,140,67%,0%,29%,20%,96,79,37,30,26,34,65%,68%
