round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Final,Novak Djokovic,5-7 6-4 6-2 6-7(5) 7-5,2012,m,Novak Djokovic,Rafael Nadal,SRB,ESP,59%,67%,9,10,2,4,68%,66%,63%,45%,202,204,190,183,150,136,35%,67%,41%,34%,193,176,57,44,69,71,74%,84%
semi,Novak Djokovic,6-3 3-6 6-7(4) 6-1 7-5,2012,m,Novak Djokovic,Andy Murray,SRB,GBR,61%,63%,11,9,6,10,66%,64%,45%,30%,203,215,189,184,157,139,42%,29%,49%,42%,184,161,49,47,69,86,75%,70%
semi,Rafael Nadal,6-7(5) 6-2 7-6(5) 6-4,2012,m,Rafael Nadal,Roger Federer,ESP,SUI,77%,64%,4,11,1,5,69%,66%,63%,55%,194,207,172,185,137,154,38%,30%,38%,33%,146,130,36,46,34,63,33%,61%
quarter,Novak Djokovic,6-4 7-6(4) 6-1,2012,m,Novak Djokovic,David Ferrer,SRB,ESP,53%,65%,3,2,0,1,71%,61%,67%,50%,199,193,186,178,151,145,42%,50%,43%,31%,105,84,35,18,39,36,78%,50%
quarter,Andy Murray,6-3 6-3 6-1,2012,m,Andy Murray,Kei Nishikori,GBR,JPN,44%,60%,4,1,3,2,78%,54%,58%,37%,211,192,176,175,141,136,39%,20%,53%,33%,104,71,36,30,27,39,84%,59%
quarter,Roger Federer,6-4 6-3 6-2,2012,m,Roger Federer,Juan Martin Del Potro,SUI,ARG,57%,67%,5,5,1,3,89%,57%,58%,55%,200,207,180,192,151,151,63%,17%,44%,25%,96,68,38,20,22,27,75%,73%
quarter,Rafael Nadal,6-7(5) 7-6(6) 6-4 6-3,2012,m,Rafael Nadal,Tomas Berdych,ESP,CZE,71%,62%,6,17,2,5,76%,74%,49%,45%,200,219,178,193,137,153,38%,15%,37%,32%,157,147,57,66,30,56,77%,53%
Fourth,Novak Djokovic,6-1 6-3 4-6 6-3,2012,m,Novak Djokovic,Lleyton Hewitt,SRB,AUS,62%,53%,15,3,3,6,73%,68%,56%,36%,202,195,191,171,153,139,67%,67%,47%,33%,126,100,55,23,34,37,52%,79%
Fourth,David Ferrer,6-4 6-4 6-1,2012,m,David Ferrer,Richard Gasquet,ESP,FRA,63%,71%,5,1,3,3,87%,52%,37%,50%,192,208,179,174,141,144,78%,67%,49%,32%,90,65,36,16,23,27,86%,56%
Fourth,Andy Murray,6-1 6-1 1-0 ret.,2012,m,Andy Murray,Mikhail Kukushkin,GBR,KAZ,65%,70%,4,0,0,0,68%,18%,58%,50%,211,191,170,159,144,136,64%,67%,64%,35%,52,25,17,5,15,27,67%,60%
Fourth,Kei Nishikori,2-6 6-2 6-1 3-6 6-3,2012,m,Kei Nishikori,Jo-Wilfried Tsonga,JPN,FRA,66%,59%,1,13,5,3,70%,68%,53%,42%,197,224,170,192,133,139,32%,33%,42%,36%,141,128,37,50,30,70,58%,59%
Fourth,Juan Martin Del Potro,6-4 6-2 6-1,2012,m,Juan Martin Del Potro,Philipp Kohlschreiber,ARG,GER,64%,55%,6,3,1,3,80%,67%,56%,23%,209,202,187,178,146,130,44%,33%,53%,29%,95,61,31,28,14,29,62%,63%
Fourth,Roger Federer,6-4 6-2 6-2,2012,m,Roger Federer,Bernard Tomic,SUI,AUS,58%,75%,13,0,3,2,84%,56%,56%,38%,206,196,188,174,153,137,60%,20%,48%,28%,101,70,45,13,28,32,76%,38%
Fourth,Tomas Berdych,4-6 7-6(5) 7-6(3) 7-6(2),2012,m,Tomas Berdych,Nicolas Almagro,CZE,ESP,56%,58%,28,16,4,3,87%,76%,59%,58%,217,213,194,190,148,138,11%,22%,32%,26%,161,145,70,54,41,41,76%,75%
Fourth,Rafael Nadal,6-4 6-4 6-2,2012,m,Rafael Nadal,Feliciano Lopez,ESP,ESP,80%,57%,4,10,1,6,81%,66%,64%,38%,199,215,175,200,134,161,28%,25%,46%,23%,105,75,20,26,14,52,71%,72%
Third,Novak Djokovic,6-0 6-1 6-1,2012,m,Novak Djokovic,Nicolas Mahut,SRB,FRA,62%,65%,7,0,1,5,84%,49%,70%,22%,204,199,186,182,152,159,62%,0%,61%,21%,81,37,31,12,8,26,67%,45%
Third,Lleyton Hewitt,4-6 6-3 7-6(5) 6-3,2012,m,Lleyton Hewitt,Milos Raonic,AUS,CAN,57%,53%,7,23,7,6,74%,77%,54%,52%,197,228,168,208,138,167,60%,25%,35%,35%,129,122,27,58,32,54,68%,51%
Third,Richard Gasquet,6-3 6-3 6-1,2012,m,Richard Gasquet,Janko Tipsarevic,FRA,SRB,60%,49%,6,5,1,1,71%,51%,74%,47%,202,197,174,184,144,138,50%,100%,51%,28%,87,56,33,24,8,33,85%,63%
Third,David Ferrer,7-5 6-2 6-1,2012,m,David Ferrer,Juan Ignacio Chela,ESP,ARG,55%,64%,1,1,3,1,65%,53%,55%,26%,197,191,177,165,141,134,62%,50%,57%,39%,100,70,43,18,30,31,68%,57%
Third,Andy Murray,6-4 6-2 6-0,2012,m,Andy Murray,Michael Llodra,GBR,FRA,60%,58%,7,2,2,3,70%,71%,71%,18%,218,207,182,182,142,157,46%,0%,51%,30%,94,61,48,18,11,23,78%,50%
Third,Mikhail Kukushkin,6-2 7-5 5-7 1-6 6-4,2012,m,Mikhail Kukushkin,Gael Monfils,KAZ,FRA,66%,65%,5,9,2,11,64%,64%,47%,38%,201,199,172,158,125,142,35%,53%,45%,42%,158,149,61,43,72,55,61%,53%
Third,Kei Nishikori,4-6 7-6(3) 7-6(4) 6-3,2012,m,Kei Nishikori,Julien Benneteau,JPN,FRA,70%,67%,4,7,4,3,68%,60%,50%,42%,194,201,168,170,133,133,54%,86%,46%,37%,148,129,50,54,30,51,57%,60%
Third,Jo-Wilfried Tsonga,6-2 6-2 6-2,2012,m,Jo-Wilfried Tsonga,Frederico Gil,FRA,POR,54%,71%,6,0,1,1,84%,48%,63%,60%,215,182,188,164,144,137,86%,0%,49%,26%,85,53,35,13,20,20,67%,47%
Third,Philipp Kohlschreiber,6-3 6-2 7-6(3),2012,m,Philipp Kohlschreiber,Alejandro Falla,GER,COL,52%,66%,4,1,0,1,79%,65%,64%,39%,211,195,180,173,145,128,63%,33%,44%,28%,110,81,31,22,33,37,83%,71%
Third,Juan Martin Del Potro,6-2 6-3 6-0,2012,m,Juan Martin Del Potro,Yen-Hsun Lu,ARG,TPE,57%,58%,8,6,1,3,85%,56%,58%,36%,217,203,196,192,147,161,70%,-,52%,27%,79,48,17,18,13,40,80%,59%
