round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Final,Novak Djokovic,4-6 6-4 6-3 7-6(2),2008,m,Novak Djokovic,Jo-Wilfried Tsonga,SRB,FRA,56%,71%,11,15,2,2,78%,71%,63%,48%,209,218,192,189,147,147,33%,40%,36%,29%,136,122,46,44,35,41,79%,52%
semi,Novak Djokovic,7-5 6-3 7-6(5),2008,m,Novak Djokovic,Roger Federer,SRB,SUI,68%,61%,13,10,6,2,78%,72%,42%,43%,208,209,191,191,155,155,36%,22%,39%,34%,118,104,50,38,32,32,79%,71%
semi,Jo-Wilfried Tsonga,6-2 6-3 6-2,2008,m,Jo-Wilfried Tsonga,Rafael Nadal,FRA,ESP,64%,69%,17,2,1,1,86%,56%,56%,50%,221,195,190,175,147,147,71%,0%,46%,25%,89,57,49,13,27,12,75%,47%
quarter,Novak Djokovic,6-0 6-3 7-5,2008,m,Novak Djokovic,David Ferrer,SRB,ESP,62%,56%,7,4,3,4,76%,57%,51%,43%,210,190,189,179,149,149,43%,11%,49%,33%,107,77,34,23,32,33,83%,52%
quarter,Roger Federer,7-5 7-6(5) 6-4,2008,m,Roger Federer,James Blake,SUI,USA,68%,58%,13,8,0,5,75%,70%,58%,43%,207,213,190,190,153,153,50%,100%,41%,30%,115,97,46,38,24,33,71%,60%
quarter,Jo-Wilfried Tsonga,7-5 6-0 7-6(6),2008,m,Jo-Wilfried Tsonga,Mikhail Youzhny,FRA,RUS,63%,73%,8,0,1,3,89%,69%,56%,31%,216,201,192,172,149,149,57%,-,42%,23%,110,82,35,29,32,33,73%,65%
quarter,Rafael Nadal,7-5 6-3 6-1,2008,m,Rafael Nadal,Jarkko Nieminen,ESP,FIN,60%,69%,5,2,5,2,78%,63%,49%,36%,201,208,183,176,126,126,67%,13%,45%,34%,102,81,36,25,23,28,78%,53%
Fourth,Roger Federer,6-4 7-6(7) 6-3,2008,m,Roger Federer,Tomas Berdych,SUI,CZE,63%,55%,11,7,1,4,75%,75%,74%,49%,205,215,189,200,160,160,43%,33%,36%,26%,105,85,45,32,17,27,50%,53%
Fourth,David Ferrer,7-5 3-6 6-4 6-1,2008,m,David Ferrer,Juan Carlos Ferrero,ESP,ESP,73%,63%,6,3,0,7,71%,66%,42%,35%,194,201,177,183,154,154,32%,25%,46%,37%,138,120,44,30,36,41,72%,65%
Fourth,Novak Djokovic,7-5 6-3 6-3,2008,m,Novak Djokovic,Lleyton Hewitt,SRB,AUS,60%,52%,13,6,6,4,73%,60%,45%,42%,208,206,190,188,158,158,58%,43%,49%,38%,108,86,42,26,36,41,75%,70%
Fourth,James Blake,6-3 6-4 6-4,2008,m,James Blake,Marin Cilic,USA,CRO,63%,55%,4,6,0,3,76%,70%,73%,54%,212,205,185,191,152,152,60%,0%,37%,25%,95,71,22,28,17,34,79%,61%
Fourth,Jarkko Nieminen,3-6 7-6(7) 7-6(9) 6-3,2008,m,Jarkko Nieminen,Philipp Kohlschreiber,FIN,GER,61%,53%,4,9,4,7,63%,68%,46%,44%,202,206,166,180,150,150,50%,32%,43%,44%,162,162,42,67,47,76,66%,71%
Fourth,Rafael Nadal,6-4 3-0 ret.,2008,m,Rafael Nadal,Paul-Henri Mathieu,ESP,FRA,93%,59%,3,5,1,3,89%,55%,0%,40%,198,203,184,190,158,158,100%,-,51%,17%,43,23,14,12,9,15,100%,38%
Fourth,Mikhail Youzhny,7-6(2) 6-3 6-1,2008,m,Mikhail Youzhny,Nikolay Davydenko,RUS,RUS,61%,62%,6,2,2,1,75%,59%,50%,42%,205,218,187,175,138,138,78%,50%,48%,34%,102,79,23,24,30,48,82%,70%
Fourth,Jo-Wilfried Tsonga,6-2 6-7(5) 7-6(6) 6-3,2008,m,Jo-Wilfried Tsonga,Richard Gasquet,FRA,FRA,64%,61%,18,5,2,4,83%,70%,52%,49%,218,205,188,183,147,147,42%,13%,38%,28%,154,131,75,49,43,40,70%,58%
Third,David Ferrer,6-3 6-3 6-2,2008,m,David Ferrer,Vince Spadea,ESP,USA,64%,59%,5,0,2,1,82%,60%,54%,47%,193,204,181,178,146,146,56%,0%,45%,29%,97,73,30,23,14,27,63%,58%
Third,Juan Carlos Ferrero,6-1 6-2 6-3,2008,m,Juan Carlos Ferrero,David Nalbandian,ESP,ARG,62%,54%,12,3,2,4,79%,61%,59%,39%,204,200,186,180,149,149,60%,0%,49%,29%,88,56,32,13,21,38,80%,56%
Third,Lleyton Hewitt,4-6 7-5 7-5 6-7(4) 6-3,2008,m,Lleyton Hewitt,Marcos Baghdatis,AUS,CYP,57%,51%,10,28,6,8,76%,75%,49%,41%,206,215,188,193,143,143,35%,36%,41%,36%,193,181,46,73,56,80,70%,79%
Third,James Blake,4-6 2-6 6-0 7-6(5) 6-2,2008,m,James Blake,Sebastien Grosjean,USA,FRA,56%,59%,10,4,3,2,66%,65%,54%,46%,218,208,191,193,144,144,57%,30%,43%,40%,159,145,45,53,44,49,50%,53%
Third,Novak Djokovic,6-3 6-1 6-3,2008,m,Novak Djokovic,Sam Querrey,SRB,USA,76%,62%,5,8,1,5,75%,61%,80%,31%,211,217,187,197,155,155,50%,25%,50%,24%,94,61,33,20,22,25,62%,62%
Third,Roger Federer,6-7(5) 7-6(1) 5-7 6-1 10-8,2008,m,Roger Federer,Janko Tipsarevic,SUI,SRB,64%,52%,39,14,1,6,89%,71%,54%,57%,209,213,190,196,150,150,24%,100%,36%,24%,202,173,96,52,64,47,75%,55%
Third,Marin Cilic,6-2 6-7(4) 6-3 6-1,2008,m,Marin Cilic,Fernando Gonzalez,CRO,CHI,56%,64%,14,2,5,7,73%,61%,65%,40%,216,215,199,174,150,150,50%,25%,47%,31%,135,100,60,19,46,31,83%,63%
Third,Tomas Berdych,3-6 6-3 7-6(5) 6-2,2008,m,Tomas Berdych,Juan Monaco,CZE,ARG,60%,72%,15,10,7,2,83%,67%,43%,43%,215,199,202,180,153,153,56%,50%,40%,33%,130,116,53,36,32,27,75%,73%
Third,Nikolay Davydenko,6-3 6-2 6-3,2008,m,Nikolay Davydenko,Marc Gicquel,RUS,FRA,65%,65%,2,7,1,0,66%,61%,58%,30%,209,211,171,196,148,148,54%,33%,49%,37%,103,81,24,29,28,52,75%,61%
Third,Jarkko Nieminen,3-6 7-6(4) 6-3 6-1,2008,m,Jarkko Nieminen,Mardy Fish,FIN,USA,73%,58%,10,13,4,3,76%,78%,47%,44%,207,219,178,194,158,158,31%,8%,36%,32%,136,122,36,56,24,60,81%,74%
Third,Rafael Nadal,7-5 6-2 6-3,2008,m,Rafael Nadal,Gilles Simon,ESP,FRA,60%,61%,7,5,1,0,75%,63%,62%,43%,203,204,181,181,142,142,35%,17%,45%,30%,109,86,27,38,22,48,82%,70%
Third,Richard Gasquet,6-3 6-2 4-6 6-4,2008,m,Richard Gasquet,Igor Andreev,FRA,RUS,65%,69%,10,2,2,0,73%,61%,69%,67%,210,205,186,178,155,155,38%,100%,37%,29%,110,94,45,25,38,31,71%,52%
Third,Jo-Wilfried Tsonga,6-3 6-4 6-2,2008,m,Jo-Wilfried Tsonga,Guillermo Garcia-Lopez,FRA,ESP,68%,53%,21,6,1,7,83%,52%,46%,54%,215,199,190,186,153,153,63%,100%,47%,29%,91,64,46,20,28,25,56%,41%
Third,Philipp Kohlschreiber,6-4 3-6 7-6(9) 6-7(3) 8-6,2008,m,Philipp Kohlschreiber,Andy Roddick,GER,USA,-,-,0,0,0,0,-,-,-,-,213,237,189,205,168,168,-,-,-,-,0,0,,,,,,
Third,Paul-Henri Mathieu,4-6 7-6(4) 2-6 7-5 8-6,2008,m,Paul-Henri Mathieu,Stefan Koubek,FRA,AUT,53%,60%,7,18,8,5,69%,72%,49%,47%,204,197,184,177,149,149,30%,47%,38%,40%,179,187,55,76,51,60,77%,73%
Third,Mikhail Youzhny,6-2 6-4 6-2,2008,m,Mikhail Youzhny,Ivo Karlovic,RUS,CRO,74%,63%,4,11,1,1,82%,62%,72%,46%,200,218,172,206,159,159,83%,0%,44%,21%,85,54,25,19,13,42,79%,41%
Second,Juan Carlos Ferrero,6-4 6-4 6-2,2008,m,Juan Carlos Ferrero,Alun Jones,ESP,AUS,64%,56%,7,3,1,2,77%,68%,55%,50%,200,198,178,176,152,152,63%,11%,40%,31%,91,74,31,22,32,41,85%,58%
Second,Sam Querrey,7-6(5) 4-6 6-4 6-2,2008,m,Sam Querrey,Dmitry Tursunov,USA,RUS,55%,56%,13,7,7,7,78%,67%,47%,45%,214,215,196,189,142,142,63%,38%,42%,36%,147,131,41,44,40,62,71%,75%
Second,Marcos Baghdatis,6-4 6-4 2-6 3-6 6-2,2008,m,Marcos Baghdatis,Marat Safin,CYP,RUS,60%,56%,4,12,4,0,74%,68%,53%,55%,213,219,195,204,164,164,29%,57%,38%,34%,144,139,38,39,53,57,61%,62%
Second,Vince Spadea,4-6 6-2 6-3 2-6 9-7,2008,m,Vince Spadea,Denis Gremelmayr,USA,GER,52%,67%,8,2,7,1,68%,68%,48%,49%,,,,,,,27%,37%,38%,41%,167,180,,,,,,
Second,Marin Cilic,6-4 6-3 6-4,2008,m,Marin Cilic,Jurgen Melzer,CRO,AUT,53%,71%,7,3,1,2,71%,52%,67%,70%,,,,,,,36%,50%,43%,30%,104,81,,,,,,
Second,Janko Tipsarevic,7-5 7-6(3) 7-6(3),2008,m,Janko Tipsarevic,Fernando Verdasco,SRB,ESP,66%,72%,8,15,2,6,77%,71%,58%,45%,209,208,194,176,147,147,67%,100%,36%,30%,118,103,39,59,20,44,90%,64%
