round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Final,Roger Federer,6-3 6-4 7-6(11),2010,m,Roger Federer,Andy Murray,SUI,GBR,66%,57%,11,10,2,4,72%,69%,61%,51%,209,214,191,196,153,151,33%,25%,37%,32%,116,100,46,29,42,36,72%,61%
semi,Roger Federer,6-2 6-3 6-2,2010,m,Roger Federer,Jo-Wilfried Tsonga,SUI,FRA,64%,56%,4,6,0,5,84%,69%,68%,39%,208,207,190,189,152,146,50%,-,41%,22%,85,54,33,21,13,27,73%,52%
semi,Andy Murray,3-6 6-4 6-4 6-2,2010,m,Andy Murray,Marin Cilic,GBR,CRO,63%,56%,5,6,1,6,76%,70%,57%,44%,207,205,183,189,148,148,31%,33%,39%,31%,125,106,40,35,29,54,69%,63%
quarter,Roger Federer,2-6 6-3 6-0 7-5,2010,m,Roger Federer,Nikolay Davydenko,SUI,RUS,60%,62%,9,1,4,4,67%,59%,49%,39%,209,207,189,176,150,150,57%,26%,47%,39%,125,104,35,35,43,50,68%,58%
quarter,Jo-Wilfried Tsonga,7-6(8) 6-7(5) 1-6 6-3 6-1,2010,m,Jo-Wilfried Tsonga,Novak Djokovic,FRA,SRB,64%,69%,19,2,2,9,68%,67%,48%,49%,215,199,193,186,150,155,67%,38%,36%,39%,158,155,54,41,55,55,59%,70%
quarter,Marin Cilic,7-6(4) 6-3 3-6 2-6 6-3,2010,m,Marin Cilic,Andy Roddick,CRO,USA,50%,63%,20,15,6,1,75%,69%,46%,52%,207,220,187,193,145,169,38%,38%,37%,38%,147,149,63,47,53,51,73%,54%
quarter,Andy Murray,6-3 7-6(2) 3-0 ret.,2010,m,Andy Murray,Rafael Nadal,GBR,ESP,59%,67%,13,1,1,1,77%,63%,45%,42%,216,199,193,175,152,143,40%,17%,44%,36%,94,75,38,23,25,26,79%,87%
Fourth,Roger Federer,6-2 6-3 6-4,2010,m,Roger Federer,Lleyton Hewitt,SUI,AUS,63%,60%,7,5,0,2,76%,62%,66%,45%,211,196,190,175,149,140,33%,20%,44%,28%,102,77,49,18,27,18,54%,52%
Fourth,Nikolay Davydenko,6-2 7-5 4-6 6-7(5) 6-3,2010,m,Nikolay Davydenko,Fernando Verdasco,RUS,ESP,62%,57%,6,15,5,20,68%,73%,57%,45%,207,219,187,195,154,164,58%,33%,35%,35%,171,157,37,45,51,81,68%,67%
Fourth,Novak Djokovic,6-1 6-2 7-5,2010,m,Novak Djokovic,Lukasz Kubot,SRB,POL,69%,62%,11,4,1,4,80%,68%,70%,31%,202,209,183,189,158,162,67%,50%,44%,23%,92,58,37,18,17,25,58%,49%
